genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_foreign,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science fiction,genre_thriller,genre_tv movie,genre_war,genre_western,lang_cn,lang_da,lang_de,lang_en,lang_es,lang_fr,lang_hi,lang_it,lang_ja,lang_ko,lang_pt,lang_ru,lang_zh,id,popularity,vote_average,title,release_year,clusters,thumbnail_location
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19995,0.1718141628376459,0.7200000000000001,Avatar,2009,6,thumbnails/19995.jpg
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,285,0.1588456734929836,0.6900000000000001,Pirates of the Caribbean: At World's End,2007,9,thumbnails/285.jpg
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206647,0.1226344840928599,0.63,Spectre,2015,0,thumbnails/206647.jpg
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49026,0.1282720691680479,0.76,The Dark Knight Rises,2012,6,thumbnails/49026.jpg
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49529,0.0501685467835558,0.61,John Carter,2012,6,thumbnails/49529.jpg
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,559,0.1321402027378318,0.5900000000000001,Spider-Man 3,2007,9,thumbnails/559.jpg
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38757,0.0555991972474804,0.7400000000000001,Tangled,2010,6,thumbnails/38757.jpg
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99861,0.1533597317382423,0.73,Avengers: Age of Ultron,2015,0,thumbnails/99861.jpg
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,767,0.1129367500742504,0.7400000000000001,Harry Potter and the Half-Blood Prince,2009,6,thumbnails/767.jpg
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,209112,0.1779276753620216,0.5700000000000001,Batman v Superman: Dawn of Justice,2016,0,thumbnails/209112.jpg
